,user_id,activity_type_id,activity_type,date,start,finish,day,method
69,2,62,WALKING,2019-06-13,2019-06-13 03:42:19,2019-06-13 12:42:48 +0900,13,proposed
73,5,62,WALKING,2019-06-13,2019-06-13 04:00:58,2019-06-13 13:04:38 +0900,13,proposed
74,3,62,WALKING,2019-06-13,2019-06-13 04:17:37,2019-06-13 13:18:15 +0900,13,proposed
75,3,62,WALKING,2019-06-13,2019-06-13 04:19:34,2019-06-13 13:20:15 +0900,13,proposed
77,2,62,WALKING,2019-06-13,2019-06-13 04:34:52,2019-06-13 13:39:38 +0900,13,proposed
78,3,62,WALKING,2019-06-13,2019-06-13 04:59:01,2019-06-13 13:59:30 +0900,13,proposed
80,6,62,WALKING,2019-06-13,2019-06-13 05:03:55,2019-06-13 14:04:41 +0900,13,proposed
87,2,62,WALKING,2019-06-13,2019-06-13 06:29:03,2019-06-13 15:32:38 +0900,13,proposed
91,2,62,WALKING,2019-06-13,2019-06-13 07:25:45,2019-06-13 16:26:02 +0900,13,proposed
95,3,62,WALKING,2019-06-13,2019-06-13 08:11:19,2019-06-13 17:12:06 +0900,13,proposed
96,3,62,WALKING,2019-06-13,2019-06-13 08:13:12,2019-06-13 17:18:56 +0900,13,proposed
100,5,62,WALKING,2019-06-13,2019-06-13 08:44:12,2019-06-13 17:44:11 +0900,13,proposed
3,6,62,WALKING,2019-06-13,2019-06-13 08:45:01,2019-06-13 17:48:10 +0900,13,proposed
102,4,62,WALKING,2019-06-13,2019-06-13 08:43:37,2019-06-13 17:45:12 +0900,13,proposed
4,2,62,WALKING,2019-06-13,2019-06-13 08:50:37,2019-06-13 17:52:47 +0900,13,proposed
5,3,62,WALKING,2019-06-13,2019-06-13 08:51:37,2019-06-13 17:52:05 +0900,13,proposed
112,2,62,WALKING,2019-06-13,2019-06-13 09:07:46,2019-06-13 18:10:33 +0900,13,proposed
113,4,62,WALKING,2019-06-13,2019-06-13 08:46:37,2019-06-13 18:03:01 +0900,13,proposed
114,4,62,WALKING,2019-06-13,2019-06-13 09:10:35,2019-06-13 18:26:32 +0900,13,proposed
115,2,62,WALKING,2019-06-13,2019-06-13 09:11:12,2019-06-13 18:18:32 +0900,13,proposed
116,2,62,WALKING,2019-06-13,2019-06-13 09:26:05,2019-06-13 18:27:15 +0900,13,proposed
117,2,62,WALKING,2019-06-13,2019-06-13 09:27:34,2019-06-13 18:34:58 +0900,13,proposed
118,6,62,WALKING,2019-06-13,2019-06-13 09:29:57,2019-06-13 18:30:55 +0900,13,proposed
119,6,62,WALKING,2019-06-13,2019-06-13 09:32:50,2019-06-13 18:40:02 +0900,13,proposed
120,2,62,WALKING,2019-06-13,2019-06-13 10:03:57,2019-06-13 19:06:04 +0900,13,proposed
121,2,62,WALKING,2019-06-13,2019-06-13 10:30:10,2019-06-13 19:30:44 +0900,13,proposed
122,2,62,WALKING,2019-06-13,2019-06-13 10:35:11,2019-06-13 19:40:17 +0900,13,proposed
123,2,62,WALKING,2019-06-13,2019-06-13 10:35:11,2019-06-13 19:40:17 +0900,13,proposed
124,3,62,WALKING,2019-06-13,2019-06-13 09:34:10,2019-06-13 18:34:25 +0900,13,proposed
125,3,62,WALKING,2019-06-13,2019-06-13 09:35:14,2019-06-13 18:35:30 +0900,13,proposed
128,3,62,WALKING,2019-06-13,2019-06-13 22:58:09,2019-06-14 08:01:51 +0900,13,proposed
129,3,62,WALKING,2019-06-13,2019-06-13 23:21:47,2019-06-14 08:24:16 +0900,13,proposed
130,3,62,WALKING,2019-06-13,2019-06-13 23:24:27,2019-06-14 08:24:36 +0900,13,proposed
131,3,62,WALKING,2019-06-13,2019-06-13 23:24:59,2019-06-14 08:25:45 +0900,13,proposed
132,3,62,WALKING,2019-06-13,2019-06-13 23:25:53,2019-06-14 08:26:47 +0900,13,proposed
133,3,62,WALKING,2019-06-13,2019-06-13 23:35:09,2019-06-14 08:36:15 +0900,13,proposed
134,3,62,WALKING,2019-06-13,2019-06-13 23:37:41,2019-06-14 08:38:28 +0900,13,proposed
135,3,62,WALKING,2019-06-13,2019-06-13 23:39:14,2019-06-14 08:40:22 +0900,13,proposed
136,1,62,WALKING,2019-06-13,2019-06-13 23:25:48,2019-06-14 08:57:41 +0900,13,traditional
137,3,62,WALKING,2019-06-13,2019-06-13 23:40:57,2019-06-14 08:41:08 +0900,13,proposed
140,3,62,WALKING,2019-06-14,2019-06-14 00:47:56,2019-06-14 09:48:27 +0900,14,proposed
141,4,62,WALKING,2019-06-14,2019-06-14 00:27:16,2019-06-14 09:30:01 +0900,14,traditional
142,4,62,WALKING,2019-06-14,2019-06-14 00:30:15,2019-06-14 09:37:38 +0900,14,traditional
147,6,62,WALKING,2019-06-14,2019-06-14 01:04:20,2019-06-14 10:05:19 +0900,14,traditional
153,3,62,WALKING,2019-06-14,2019-06-14 01:22:21,2019-06-14 10:23:44 +0900,14,proposed
154,3,62,WALKING,2019-06-14,2019-06-14 01:27:32,2019-06-14 10:27:42 +0900,14,proposed
155,3,62,WALKING,2019-06-14,2019-06-14 01:28:19,2019-06-14 10:28:35 +0900,14,proposed
164,4,62,WALKING,2019-06-14,2019-06-14 02:49:54,2019-06-14 11:50:51 +0900,14,traditional
177,4,62,WALKING,2019-06-14,2019-06-14 03:02:08,2019-06-14 12:03:16 +0900,14,traditional
178,2,62,WALKING,2019-06-14,2019-06-14 03:02:14,2019-06-14 12:20:28 +0900,14,proposed
179,3,62,WALKING,2019-06-14,2019-06-14 03:14:34,2019-06-14 12:15:55 +0900,14,proposed
180,3,62,WALKING,2019-06-14,2019-06-14 03:17:06,2019-06-14 12:17:17 +0900,14,proposed
183,5,62,WALKING,2019-06-14,2019-06-14 03:28:46,2019-06-14 12:29:20 +0900,14,traditional
184,5,62,WALKING,2019-06-14,2019-06-14 03:30:32,2019-06-14 12:31:04 +0900,14,traditional
185,3,62,WALKING,2019-06-14,2019-06-14 03:31:20,2019-06-14 12:32:06 +0900,14,proposed
205,2,62,WALKING,2019-06-14,2019-06-14 04:48:43,2019-06-14 13:54:55 +0900,14,proposed
206,2,62,WALKING,2019-06-14,2019-06-14 04:48:43,2019-06-14 13:54:55 +0900,14,proposed
207,1,62,WALKING,2019-06-14,2019-06-14 04:50:05,2019-06-14 14:01:30 +0900,14,proposed
211,1,62,WALKING,2019-06-14,2019-06-14 05:31:52,2019-06-14 14:48:48 +0900,14,proposed
212,4,62,WALKING,2019-06-14,2019-06-14 03:59:25,2019-06-14 12:59:26 +0900,14,traditional
213,4,62,WALKING,2019-06-14,2019-06-14 04:00:36,2019-06-14 13:13:25 +0900,14,traditional
214,4,62,WALKING,2019-06-14,2019-06-14 05:25:56,2019-06-14 14:55:43 +0900,14,traditional
216,3,62,WALKING,2019-06-14,2019-06-14 05:54:51,2019-06-14 14:55:06 +0900,14,proposed
220,3,62,WALKING,2019-06-14,2019-06-14 05:59:06,2019-06-14 14:59:37 +0900,14,proposed
223,5,62,WALKING,2019-06-14,2019-06-14 06:23:18,2019-06-14 15:23:36 +0900,14,traditional
224,5,62,WALKING,2019-06-14,2019-06-14 06:23:18,2019-06-14 15:23:36 +0900,14,traditional
225,5,62,WALKING,2019-06-14,2019-06-14 06:25:24,2019-06-14 15:34:33 +0900,14,traditional
226,5,62,WALKING,2019-06-14,2019-06-14 06:45:48,2019-06-14 15:46:21 +0900,14,traditional
227,5,62,WALKING,2019-06-14,2019-06-14 06:46:52,2019-06-14 16:00:17 +0900,14,traditional
228,1,62,WALKING,2019-06-14,2019-06-14 07:02:57,2019-06-14 16:02:52 +0900,14,proposed
233,3,62,WALKING,2019-06-14,2019-06-14 07:07:50,2019-06-14 16:08:43 +0900,14,proposed
234,3,62,WALKING,2019-06-14,2019-06-14 07:07:50,2019-06-14 16:08:43 +0900,14,proposed
241,6,62,WALKING,2019-06-14,2019-06-14 07:23:34,2019-06-14 16:35:49 +0900,14,traditional
252,3,62,WALKING,2019-06-14,2019-06-14 09:26:29,2019-06-14 18:27:06 +0900,14,proposed
253,3,62,WALKING,2019-06-14,2019-06-14 09:28:13,2019-06-14 18:28:40 +0900,14,proposed
254,3,62,WALKING,2019-06-14,2019-06-14 09:29:30,2019-06-14 18:29:55 +0900,14,proposed
266,3,62,WALKING,2019-06-14,2019-06-14 09:34:55,2019-06-14 18:35:29 +0900,14,proposed
267,3,62,WALKING,2019-06-14,2019-06-14 09:37:16,2019-06-14 18:38:36 +0900,14,proposed
271,3,62,WALKING,2019-06-14,2019-06-14 09:38:45,2019-06-14 18:39:15 +0900,14,proposed
272,3,62,WALKING,2019-06-14,2019-06-14 09:38:45,2019-06-14 18:39:15 +0900,14,proposed
275,3,62,WALKING,2019-06-14,2019-06-14 09:54:11,2019-06-14 18:55:10 +0900,14,proposed
276,3,62,WALKING,2019-06-14,2019-06-14 10:16:24,2019-06-14 19:17:44 +0900,14,proposed
291,1,62,WALKING,2019-06-14,2019-06-14 23:26:51,2019-06-15 09:00:30 +0900,14,proposed
292,3,62,WALKING,2019-06-14,2019-06-14 22:59:30,2019-06-15 08:03:14 +0900,14,proposed
293,3,62,WALKING,2019-06-14,2019-06-14 23:25:41,2019-06-15 08:28:22 +0900,14,proposed
294,3,62,WALKING,2019-06-14,2019-06-14 23:28:32,2019-06-15 08:28:52 +0900,14,proposed
295,3,62,WALKING,2019-06-14,2019-06-14 23:29:03,2019-06-15 08:29:48 +0900,14,proposed
296,3,62,WALKING,2019-06-14,2019-06-14 23:29:54,2019-06-15 08:30:17 +0900,14,proposed
297,3,62,WALKING,2019-06-14,2019-06-14 23:30:25,2019-06-15 08:30:34 +0900,14,proposed
21,3,62,WALKING,2019-06-14,2019-06-14 23:30:25,2019-06-15 08:30:34 +0900,14,proposed
301,3,62,WALKING,2019-06-14,2019-06-14 23:31:00,2019-06-15 08:31:43 +0900,14,proposed
302,3,62,WALKING,2019-06-14,2019-06-14 23:32:25,2019-06-15 08:32:28 +0900,14,proposed
307,3,62,WALKING,2019-06-14,2019-06-14 23:35:08,2019-06-15 08:35:26 +0900,14,proposed
326,6,62,WALKING,2019-06-15,2019-06-15 01:10:35,2019-06-15 10:13:54 +0900,15,proposed
327,3,62,WALKING,2019-06-15,2019-06-15 00:56:33,2019-06-15 09:57:28 +0900,15,traditional
331,3,62,WALKING,2019-06-15,2019-06-15 01:29:46,2019-06-15 10:29:45 +0900,15,traditional
334,4,62,WALKING,2019-06-14,2019-06-14 09:00:13,2019-06-14 18:03:59 +0900,14,traditional
335,4,62,WALKING,2019-06-14,2019-06-14 09:26:00,2019-06-14 18:36:29 +0900,14,traditional
336,4,62,WALKING,2019-06-15,2019-06-15 00:32:36,2019-06-15 10:05:26 +0900,15,proposed
338,3,62,WALKING,2019-06-15,2019-06-15 03:04:42,2019-06-15 12:05:54 +0900,15,traditional
339,2,62,WALKING,2019-06-15,2019-06-15 02:58:46,2019-06-15 12:17:36 +0900,15,proposed
340,2,62,WALKING,2019-06-15,2019-06-15 03:22:35,2019-06-15 12:32:17 +0900,15,proposed
341,3,62,WALKING,2019-06-15,2019-06-15 03:07:18,2019-06-15 12:08:05 +0900,15,traditional
342,3,62,WALKING,2019-06-15,2019-06-15 03:09:18,2019-06-15 12:12:05 +0900,15,traditional
351,4,62,WALKING,2019-06-15,2019-06-15 03:33:21,2019-06-15 12:33:20 +0900,15,proposed
352,4,62,WALKING,2019-06-15,2019-06-15 03:36:37,2019-06-15 12:36:35 +0900,15,proposed
355,1,62,WALKING,2019-06-15,2019-06-15 03:52:59,2019-06-15 12:58:21 +0900,15,proposed
356,1,62,WALKING,2019-06-15,2019-06-15 03:52:59,2019-06-15 12:58:21 +0900,15,proposed
359,3,62,WALKING,2019-06-15,2019-06-15 03:49:04,2019-06-15 12:49:45 +0900,15,traditional
360,2,62,WALKING,2019-06-15,2019-06-15 03:48:26,2019-06-15 12:50:38 +0900,15,proposed
361,2,62,WALKING,2019-06-15,2019-06-15 03:48:26,2019-06-15 12:50:38 +0900,15,proposed
366,2,62,WALKING,2019-06-15,2019-06-15 04:49:34,2019-06-15 14:44:17 +0900,15,proposed
370,2,62,WALKING,2019-06-15,2019-06-15 06:31:14,2019-06-15 15:31:13 +0900,15,proposed
371,3,62,WALKING,2019-06-15,2019-06-15 06:36:52,2019-06-15 15:38:41 +0900,15,traditional
372,3,62,WALKING,2019-06-15,2019-06-15 06:38:55,2019-06-15 15:39:01 +0900,15,traditional
373,3,62,WALKING,2019-06-15,2019-06-15 06:39:28,2019-06-15 15:40:11 +0900,15,traditional
374,3,62,WALKING,2019-06-15,2019-06-15 06:41:40,2019-06-15 15:43:10 +0900,15,traditional
380,1,62,WALKING,2019-06-15,2019-06-15 07:00:19,2019-06-15 16:03:55 +0900,15,proposed
387,1,62,WALKING,2019-06-15,2019-06-15 07:22:04,2019-06-15 16:30:52 +0900,15,proposed
388,1,62,WALKING,2019-06-15,2019-06-15 07:50:27,2019-06-15 16:56:09 +0900,15,proposed
391,3,62,WALKING,2019-06-15,2019-06-15 07:52:03,2019-06-15 16:52:34 +0900,15,traditional
392,6,62,WALKING,2019-06-15,2019-06-15 08:09:46,2019-06-15 17:18:03 +0900,15,proposed
393,5,62,WALKING,2019-06-15,2019-06-15 08:06:13,2019-06-15 17:17:53 +0900,15,proposed
397,2,62,WALKING,2019-06-15,2019-06-15 08:53:36,2019-06-15 18:22:08 +0900,15,proposed
401,3,62,WALKING,2019-06-15,2019-06-15 10:14:59,2019-06-15 19:16:08 +0900,15,traditional
402,3,62,WALKING,2019-06-15,2019-06-15 23:25:38,2019-06-16 08:25:44 +0900,15,traditional
403,3,62,WALKING,2019-06-15,2019-06-15 23:26:28,2019-06-16 08:27:58 +0900,15,traditional
404,3,62,WALKING,2019-06-15,2019-06-15 23:29:07,2019-06-16 08:29:43 +0900,15,traditional
405,3,62,WALKING,2019-06-15,2019-06-15 10:16:19,2019-06-15 19:16:24 +0900,15,traditional
406,3,62,WALKING,2019-06-15,2019-06-15 10:16:51,2019-06-15 19:19:53 +0900,15,traditional
407,3,62,WALKING,2019-06-15,2019-06-15 10:39:50,2019-06-15 19:44:14 +0900,15,traditional
408,3,62,WALKING,2019-06-15,2019-06-15 10:45:21,2019-06-15 19:49:44 +0900,15,traditional
409,3,62,WALKING,2019-06-15,2019-06-15 10:57:49,2019-06-15 19:59:17 +0900,15,traditional
410,3,62,WALKING,2019-06-15,2019-06-15 10:59:23,2019-06-15 20:05:14 +0900,15,traditional
411,3,62,WALKING,2019-06-15,2019-06-15 23:02:44,2019-06-16 08:05:45 +0900,15,traditional
412,3,62,WALKING,2019-06-15,2019-06-15 23:22:33,2019-06-16 08:25:24 +0900,15,traditional
413,3,62,WALKING,2019-06-16,2019-06-16 00:57:57,2019-06-16 09:58:44 +0900,16,traditional
414,3,62,WALKING,2019-06-16,2019-06-16 01:05:33,2019-06-16 10:06:14 +0900,16,traditional
418,6,62,WALKING,2019-06-16,2019-06-16 01:21:49,2019-06-16 10:24:41 +0900,16,proposed
422,6,62,WALKING,2019-06-16,2019-06-16 01:59:02,2019-06-16 11:00:54 +0900,16,proposed
423,5,62,WALKING,2019-06-16,2019-06-16 01:37:12,2019-06-16 10:58:57 +0900,16,traditional
424,5,62,WALKING,2019-06-16,2019-06-16 01:59:29,2019-06-16 11:11:00 +0900,16,traditional
427,3,62,WALKING,2019-06-16,2019-06-16 02:48:07,2019-06-16 11:48:38 +0900,16,traditional
435,5,62,WALKING,2019-06-16,2019-06-16 03:46:08,2019-06-16 12:47:33 +0900,16,traditional
436,5,62,WALKING,2019-06-16,2019-06-16 03:46:08,2019-06-16 12:47:33 +0900,16,traditional
437,1,62,WALKING,2019-06-16,2019-06-16 00:40:24,2019-06-16 10:20:10 +0900,16,proposed
438,5,62,WALKING,2019-06-16,2019-06-16 04:40:20,2019-06-16 13:41:15 +0900,16,traditional
439,2,62,WALKING,2019-06-16,2019-06-16 05:21:57,2019-06-16 14:35:41 +0900,16,traditional
441,4,62,WALKING,2019-06-16,2019-06-16 06:19:09,2019-06-16 15:37:41 +0900,16,traditional
445,1,62,WALKING,2019-06-16,2019-06-16 07:27:34,2019-06-16 16:38:53 +0900,16,proposed
446,1,62,WALKING,2019-06-16,2019-06-16 08:02:36,2019-06-16 17:09:01 +0900,16,proposed
449,3,62,WALKING,2019-06-16,2019-06-16 08:40:41,2019-06-16 17:41:13 +0900,16,traditional
451,5,62,WALKING,2019-06-16,2019-06-16 09:43:05,2019-06-16 18:45:44 +0900,16,traditional
452,3,62,WALKING,2019-06-16,2019-06-16 10:03:38,2019-06-16 19:04:48 +0900,16,traditional
453,3,62,WALKING,2019-06-16,2019-06-16 10:05:23,2019-06-16 19:05:32 +0900,16,traditional
454,2,62,WALKING,2019-06-16,2019-06-16 05:59:12,2019-06-16 15:06:28 +0900,16,traditional
455,2,62,WALKING,2019-06-16,2019-06-16 07:01:25,2019-06-16 16:34:20 +0900,16,traditional
456,2,62,WALKING,2019-06-16,2019-06-16 11:28:11,2019-06-16 21:26:25 +0900,16,traditional
457,2,62,WALKING,2019-06-16,2019-06-16 14:26:31,2019-06-16 23:57:23 +0900,16,traditional
458,3,62,WALKING,2019-06-16,2019-06-16 23:20:40,2019-06-17 08:21:55 +0900,16,traditional
459,3,62,WALKING,2019-06-16,2019-06-16 10:05:42,2019-06-16 19:05:52 +0900,16,traditional
460,3,62,WALKING,2019-06-16,2019-06-16 10:06:19,2019-06-16 19:09:18 +0900,16,traditional
461,3,62,WALKING,2019-06-16,2019-06-16 10:11:11,2019-06-16 19:11:26 +0900,16,traditional
462,3,62,WALKING,2019-06-16,2019-06-16 10:25:37,2019-06-16 19:31:55 +0900,16,traditional
463,3,62,WALKING,2019-06-16,2019-06-16 22:53:14,2019-06-17 07:55:38 +0900,16,traditional
464,3,62,WALKING,2019-06-16,2019-06-16 23:17:37,2019-06-17 08:19:58 +0900,16,traditional
465,3,62,WALKING,2019-06-16,2019-06-16 23:20:11,2019-06-17 08:20:16 +0900,16,traditional
467,6,62,WALKING,2019-06-17,2019-06-17 00:43:58,2019-06-17 09:53:58 +0900,17,traditional
473,3,62,WALKING,2019-06-17,2019-06-17 00:57:33,2019-06-17 09:58:30 +0900,17,proposed
474,5,62,WALKING,2019-06-17,2019-06-17 01:58:42,2019-06-17 11:00:10 +0900,17,traditional
479,5,62,WALKING,2019-06-17,2019-06-17 02:40:18,2019-06-17 11:42:11 +0900,17,traditional
482,6,62,WALKING,2019-06-17,2019-06-17 03:16:03,2019-06-17 12:55:54 +0900,17,traditional
483,3,62,WALKING,2019-06-17,2019-06-17 03:56:01,2019-06-17 12:56:15 +0900,17,proposed
485,5,62,WALKING,2019-06-17,2019-06-17 03:42:00,2019-06-17 12:49:43 +0900,17,traditional
486,5,62,WALKING,2019-06-17,2019-06-17 03:42:00,2019-06-17 12:49:43 +0900,17,traditional
489,1,62,WALKING,2019-06-17,2019-06-17 04:31:59,2019-06-17 13:32:49 +0900,17,traditional
490,1,62,WALKING,2019-06-17,2019-06-17 04:31:59,2019-06-17 13:32:49 +0900,17,traditional
492,4,62,WALKING,2019-06-17,2019-06-17 05:29:28,2019-06-17 14:35:59 +0900,17,traditional
493,1,62,WALKING,2019-06-17,2019-06-17 05:28:58,2019-06-17 14:35:49 +0900,17,traditional
494,5,62,WALKING,2019-06-17,2019-06-17 06:29:06,2019-06-17 15:29:05 +0900,17,traditional
496,2,62,WALKING,2019-06-17,2019-06-17 07:14:37,2019-06-17 16:44:38 +0900,17,traditional
497,3,62,WALKING,2019-06-17,2019-06-17 08:29:29,2019-06-17 17:30:29 +0900,17,proposed
41,3,62,WALKING,2019-06-17,2019-06-17 08:31:16,2019-06-17 17:33:51 +0900,17,proposed
500,1,62,WALKING,2019-06-17,2019-06-17 07:21:14,2019-06-17 17:27:35 +0900,17,traditional
501,1,62,WALKING,2019-06-17,2019-06-17 09:11:49,2019-06-17 18:33:12 +0900,17,traditional
502,4,62,WALKING,2019-06-17,2019-06-17 07:20:16,2019-06-17 16:24:12 +0900,17,traditional
503,4,62,WALKING,2019-06-17,2019-06-17 09:11:40,2019-06-17 18:34:43 +0900,17,traditional
504,2,62,WALKING,2019-06-17,2019-06-17 09:37:43,2019-06-17 18:54:59 +0900,17,traditional
545,4,62,WALKING,2019-06-22,2019-06-22 01:41:09,2019-06-22 10:42:08 +0900,22,proposed
546,4,62,WALKING,2019-06-22,2019-06-22 01:41:09,2019-06-22 10:42:08 +0900,22,proposed
565,5,62,WALKING,2019-06-22,2019-06-22 00:59:36,2019-06-22 10:04:57 +0900,22,proposed
568,2,62,WALKING,2019-06-22,2019-06-22 01:35:59,2019-06-22 10:41:31 +0900,22,traditional
569,4,62,WALKING,2019-06-22,2019-06-22 01:42:32,2019-06-22 10:43:13 +0900,22,proposed
574,1,62,WALKING,2019-06-22,2019-06-22 01:56:26,2019-06-22 10:56:34 +0900,22,traditional
575,1,62,WALKING,2019-06-22,2019-06-22 01:56:52,2019-06-22 10:57:04 +0900,22,traditional
579,6,62,WALKING,2019-06-22,2019-06-22 02:16:54,2019-06-22 11:53:11 +0900,22,traditional
580,3,62,WALKING,2019-06-22,2019-06-22 03:03:35,2019-06-22 12:04:32 +0900,22,traditional
582,5,62,WALKING,2019-06-22,2019-06-22 02:20:39,2019-06-22 11:25:39 +0900,22,proposed
583,5,62,WALKING,2019-06-22,2019-06-22 02:34:02,2019-06-22 11:34:27 +0900,22,proposed
589,2,62,WALKING,2019-06-22,2019-06-22 04:17:43,2019-06-22 14:13:50 +0900,22,traditional
590,2,62,WALKING,2019-06-22,2019-06-22 03:16:17,2019-06-22 12:41:26 +0900,22,traditional
592,5,62,WALKING,2019-06-22,2019-06-22 06:12:30,2019-06-22 15:12:30 +0900,22,proposed
593,3,62,WALKING,2019-06-22,2019-06-22 05:18:35,2019-06-22 14:23:36 +0900,22,traditional
594,2,62,WALKING,2019-06-22,2019-06-22 06:20:20,2019-06-22 15:48:33 +0900,22,traditional
595,1,62,WALKING,2019-06-22,2019-06-22 03:59:59,2019-06-22 13:00:47 +0900,22,traditional
596,1,62,WALKING,2019-06-22,2019-06-22 04:01:02,2019-06-22 13:02:34 +0900,22,traditional
597,1,62,WALKING,2019-06-22,2019-06-22 07:08:43,2019-06-22 16:12:38 +0900,22,traditional
52,1,62,WALKING,2019-06-22,2019-06-22 07:14:59,2019-06-22 16:21:53 +0900,22,traditional
600,1,62,WALKING,2019-06-22,2019-06-22 07:40:22,2019-06-22 16:46:19 +0900,22,traditional
601,4,62,WALKING,2019-06-22,2019-06-22 03:49:08,2019-06-22 12:50:24 +0900,22,proposed
602,4,62,WALKING,2019-06-22,2019-06-22 07:14:07,2019-06-22 16:14:32 +0900,22,proposed
603,4,62,WALKING,2019-06-22,2019-06-22 07:14:58,2019-06-22 16:22:52 +0900,22,proposed
604,4,62,WALKING,2019-06-22,2019-06-22 07:40:55,2019-06-22 16:46:48 +0900,22,proposed
607,6,62,WALKING,2019-06-22,2019-06-22 08:17:41,2019-06-22 17:49:28 +0900,22,traditional
608,2,62,WALKING,2019-06-22,2019-06-22 08:18:24,2019-06-22 18:08:25 +0900,22,traditional
611,2,62,WALKING,2019-06-22,2019-06-22 09:15:43,2019-06-22 18:19:41 +0900,22,traditional
612,1,62,WALKING,2019-06-22,2019-06-22 10:33:09,2019-06-22 19:42:24 +0900,22,traditional
613,1,62,WALKING,2019-06-22,2019-06-22 10:49:14,2019-06-22 19:50:17 +0900,22,traditional
614,1,62,WALKING,2019-06-22,2019-06-22 10:50:47,2019-06-22 19:54:10 +0900,22,traditional
615,2,62,WALKING,2019-06-22,2019-06-22 10:32:43,2019-06-22 19:37:13 +0900,22,traditional
650,3,62,WALKING,2019-06-22,2019-06-22 07:27:29,2019-06-22 16:30:29 +0900,22,traditional
651,3,62,WALKING,2019-06-22,2019-06-22 07:54:58,2019-06-22 17:01:28 +0900,22,traditional
655,3,62,WALKING,2019-06-22,2019-06-22 11:24:42,2019-06-22 20:26:35 +0900,22,traditional
656,3,62,WALKING,2019-06-22,2019-06-22 11:26:41,2019-06-22 20:26:45 +0900,22,traditional
671,4,63,RUNNING,2019-06-14,2019-06-14 00:37:42,2019-06-14 09:38:15 +0900,14,traditional
687,6,65,CYCLING,2019-06-13,2019-06-13 00:40:04,2019-06-13 09:42:05 +0900,13,proposed
688,6,65,CYCLING,2019-06-13,2019-06-13 00:48:57,2019-06-13 09:54:03 +0900,13,proposed
691,5,65,CYCLING,2019-06-13,2019-06-13 09:43:05,2019-06-13 18:44:40 +0900,13,proposed
692,6,65,CYCLING,2019-06-13,2019-06-13 08:51:08,2019-06-13 17:57:18 +0900,13,proposed
693,6,65,CYCLING,2019-06-13,2019-06-13 08:51:13,2019-06-13 17:57:18 +0900,13,proposed
694,6,65,CYCLING,2019-06-13,2019-06-13 09:15:40,2019-06-13 18:28:43 +0900,13,proposed
695,6,65,CYCLING,2019-06-13,2019-06-13 09:43:00,2019-06-13 18:44:15 +0900,13,proposed
696,6,65,CYCLING,2019-06-14,2019-06-14 00:56:12,2019-06-14 10:03:25 +0900,14,traditional
702,5,65,CYCLING,2019-06-14,2019-06-14 03:15:01,2019-06-14 12:28:45 +0900,14,traditional
703,2,65,CYCLING,2019-06-14,2019-06-14 08:02:19,2019-06-15 12:23:18 +0900,14,proposed
